#-----------------------------------------------------------
# xsim v2020.2 (64-bit)
# SW Build 3064766 on Wed Nov 18 09:12:45 MST 2020
# IP Build 3064653 on Wed Nov 18 14:17:31 MST 2020
# Start of session at: Wed May 22 22:46:35 2024
# Process ID: 10104
# Current directory: C:/Users/atomi/GitHub/hw-viv/div_archive
# Command line: xsim.exe -mode tcl -source {xsim.dir/div_tb_snapshot_p2/xsim_script.tcl}
# Log file: C:/Users/atomi/GitHub/hw-viv/div_archive/xsim.log
# Journal file: C:/Users/atomi/GitHub/hw-viv/div_archive\xsim.jou
#-----------------------------------------------------------
source xsim.dir/div_tb_snapshot_p2/xsim_script.tcl
# xsim {div_tb_snapshot_p2} -autoloadwcfg -runall
Vivado Simulator 2020.2
Time resolution is 1 ps
run -all
start of checking module div32p2
r           1163709913          0          0                    x
r            454406809          0          0                    x
r           1145658262          0          0                    x
r           2529499102          0          0                    x
r            468375180          0          0                    x
r           1929624820          0          0                    x
r           1193181842          0          0                    x
r           1632085093          0          0                    x
r           2384031630          0          0                    x
r            191356456          0          0                    x
r           2014100547          0          0                    x
r            704923162          0          0                    x
r           2120981277          0          0                    x
r           3207282390          0          0                    x
r           2337008256          0          0                    x
r           2357529259          0          0                    x
r           1251155198          0          0                    x
r             56141507          0          0                    x
r            914968773          0          0                    x
r           1224652827          0          0                    x
r           1115940249          0          0                    x
r           1104493381          0          0                    x
r           1434698438          0          0                    x
r           2367095448          0          0                    x
r           1160634889          0          0                    x
r           2349667212          0          0                    x
r           1444264627          0          0                    x
r            129091490          0          0                    x
r           1306676945          0          0                    x
r           2878963066          0          0                    x
r            348703290          0          0                    x
r            319828186          0          0                    x
r           3081146630          0          0                    x
r           1792967918          0          0                    x
r           2596403325          0          0                    x
r             92856279          0          0                    x
r           2524447336          0          0                    x
r            797622967          0          0                    x
r           2560168114          0          0                    x
r           1310626670          0          0                    x
r            443107237          0          0                    x
r           3009087791          0          0                    x
r           1403482949          0          0                    x
r            820070925          0          0                    x
r           1659227110          0          0                    x
r           1816167415          0          0                    x
r           2130697595          0          0                    x
r           2102334348          0          0                    x
r            530287910          0          0                    x
r           1386696897          0          0                    x
r            774921625          0          0                    x
r           2189515021          0          0                    x
r           1055380664          0          0                    x
r           2905619221          0          0                    x
r           2144365721          0          0                    x
r           1585668575          0          0                    x
r           2144832470          0          0                    x
r            771803698          0          0                    x
r           1627699948          0          0                    x
r           1052729486          0          0                    x
r           1529939271          0          0                    x
r           1624582021          0          0                    x
r            490914413          0          0                    x
r           1527288093          0          0                    x
r            248902071          0          0                    x
r           2118614361          0          0                    x
r           2580017580          0          0                    x
r           1778841343          0          0                    x
r           1595712734          0          0                    x
r            923448345          0          0                    x
r           1158645788          0          0                    x
r           1844614806          0          0                    x
r           3042062707          0          0                    x
r           1591179720          0          0                    x
r           1475972501          0          0                    x
r            342808145          0          0                    x
r           2514628066          0          0                    x
r            487134641          0          0                    x
r             39939303          0          0                    x
r           1261723477          0          0                    x
r           2078314362          0          0                    x
r           1515911804          0          0                    x
r           1604531622          0          0                    x
r           2445458780          0          0                    x
r           2003046446          0          0                    x
r           1644470926          0          0                    x
r           1559698609          0          0                    x
r           1933877160          0          0                    x
r           1012899082          0          0                    x
r           1016746583          0          0                    x
r           2231852292          0          0                    x
r            868461880          0          0                    x
r            513733861          0          0                    x
r           1644067253          0          0                    x
r            654855392          0          0                    x
r           1526632944          0          0                    x
r            513330188          0          0                    x
r            739224036          0          0                    x
r            247611176          0          0                    x
q   439610164660032226  117903820 1614905141           3728548953
r   439610164660032226  117903820   82386116             44331766
q   830560205123654154  724155369 1772068583           1146936473
r   830560205123654154  724155369   78029505            298780617
q   435064585024904723  222025235  829571266           1959527641
r   435064585024904723  222025235  195888538             42884088
q   150401202329048065  136400951  655128835           1102640423
r   150401202329048065  136400951   85856347             20805792
q    72572052443606408   21523628  571855126           3371738837
